song_number,song_title,song_lyrics
1,لنا في كلام الإله الصمد,"لَنَا فِي كَلامِ الإِلَهِ الصَّمَدْ
أَسَاسٌ لإِيمَانِنَا كَالْجَبَلْ
وَهَلْ مِنْ مَزِيدٍ عَلَى مَا وَعَدْ
لِمَنْ جَاءَهُ وَعَلَيْهِ اتَّكَلْ
1
يَقُولُ اطْمَئِنَّ فَإِنِّي مَعَكْ
وَإِنِّي إِلَهُكَ وَالْعَوْنُ بِي
وَإِنِّي أُقَوِّيكَ كَيْ أَرْفَعَكْ
وَأَرْثِي لِضَعْفِكَ مِثْلَ الأَبِ
2
إِذَا خُضْتَ لُجَّ الْمِيَاهِ الْعَمِيقْ
فَلا تَقْدِرَنَّ عَلَيْكَ اللُّجَجْ
أَنَا لَكَ فِي الضِّيقِ نِعْمَ الرَّفِيقْ
وَضِيقُكَ أُبْدِلُهُ بِالْفَرَجْ
3
إِذَا مَا دَهَاكَ بَلاءُ الْخَطَرْ
فَيَكْفِيكَ مِنْ نِعْمَتِي مَا انْسَكَبْ
وَلا تُوقِعُ النَّارُ فِيكَ الضَّرَرْ
فَإِنِّي أُنَقِّيكَ مِثْلَ الذَّهَبْ
4
وَحُبِّي سَيَبْقَى شَدِيدَ الرُّسُوخْ
وَيَدْرِيهِ شَعْبِي بِطُولِ الزَّمَانْ
إِذَا كَلَّلَ الشَّيْبُ رَأْسَ الشُّيوُخْ
بِلُطْفٍ أَقُودُهُمُ بِالْحَنَانْ
5
فَمَا نَالَ كَيْدُ الْعَدُوِّ الْخَصِيمْ
وَلا خَابَ مَنْ لِيَسُوعَ اسْتَنَدْ
وَإِنْ هَاجَ ضِدَّهُ جُنْدُ الْجَحِيمْ
فَلَسْتُ بِتَارِكِهِ لِلأَبَدْ
6"
2,أنت عظيم البركات,"1
أَنْتَ عَظِيمُ الْبَرَكَاتْ
يَا رَبُّ لِلْعَبِيدْ
رُشْدٌ وَعَوْنٌ وَثَبَاتْ
وَمَلْجَأٌ وَطِيدْ
يَمِينُكَ تَقُودُنَا
إِلَى مَدَى الدَّهْرِ
وَتَعْتَنِي بِحِفْظِنَا
فِي الْبَرِّ وَالْبَحْرِ
2
إِذَا طَمَا الْمَوْجُ الرَّفِيعْ
وَهَاجَتِ الْمِيَاهْ
نَعْلَمُ أَنَّكَ السَّمِيعْ
وَصَاحِبُ النَّجَاهْ
3
تَهْدَا بِأَمْرِكَ الرِّيَاحْ
طَوْعًا لِمَا تُرِيدْ
فَنَنْظُرُ الْبَحْرَ اسْتَرَاحْ
مِنْ كَدِّهِ الشَّدِيدْ
4
فِي وَسَطِ الْخَوْفِ الْعَظِيمْ
نُهْدِي لَكَ السُّجُودْ
نَذْكُرُ فَضْلَكَ الْقَدِيمْ
لأَنَّهُ يَعُودْ
5
مَا دُمْتَ تَحْفَظُ الْحَيَاةْ
لا نَرْهَبُ الْهَلاكْ
فِي الضِّيقِ أَوْ حِينَ النَّجَاةْ
نَكُونُ فِي حِمَاكْ
6"
3,للورى خل وحيد,"لِلْوَرَى خِلٌّ وَحِيدٌ
مَا لَهُ أَصْلاً نَظِيرْ
حُبُّهُ حُبٌّ وَطِيدٌ
لا يُكَافَى بِالْكَثِيرْ
1
أَيُّ خِلٍّ مَاتَ مِنَّا
عَنْ خَلِيلٍ فَفَدَاهْ
إِنَّمَا يَسُوعُ عَنَّا
مَاتَ إِذْ كُنَّا عِدَاهْ
2
عَاشَ فِي الأَرْضِ فَقِيرًا
رَبُّنَا فَادِي الْخُطَاهْ
وَارْتَقَى عَنْهَا جَلِيلاً
يَسْتَجِيبُ مَنْ دَعَاهْ
3
عَنْ قَرِيبٍ سَوْفَ يَأْتِي
وَنَرَاهُ بِالْعِيَانْ
عِنْدَ ذَا نُدْرِكُ كَيْفَ
حُبُّهُ فَاقَ الْبَيَانْ
4"
4,يا ليت لي الف لسان,"مَا أَمْجَدَ الْحَبِيبْ
مَنْ أَكْمَلَ الْفِدَاءْ
لَيْسَ نَظِيرُهُ عَجِيبْ
فِي الْحُبِّ وَالْعَطَاءْ
1
إِذْ مَاتَ طَائِعًا
وَهَبَنَا الْحَيَاهْ
وَقَامَ أَيْضًا رَاجِعًا
إِلَى عُلا سَمَاهْ
2
يَا عَجَبًا أَرَى
مِنْ نِعْمَةِ الصَّمَدْ
جَعَلَنِي بِمَوْتِهِ
حَيًّا إِلَى الأَبَدْ
3
فِي ظِلِّهِ أَسِيرْ
إِلَى مَدَى الأَيَّامْ
أُخْبِرُ عَنْ حُبِّ الْقَدِيرْ
وَغَافِرِ الآثَامْ
4"
5,قوموا نسبح كلنا,"قُومُوا نُسَبِّحْ كُلُّنَا
لِلْكَاهِنِ الْعَظِيمْ
أَسْمَاؤنَا مَنْقُوشَةٌ
فِي صَدْرِهِ الرَّحِيمْ
1
قَدْ غَسَلَ بِدَمِهِ
أَوْزَارَنَا هُنَا
وَهْوَ هُنَاكَ شَافِعٌ
طُولَ الْمَدَى لَنَا
2
إِذْ جَازَ فِي ذَاتِ الطَّرِيقْ
فِي هَيْئَةِ الْبَشَرْ
يُعِينُ ضَعْفَ شَعْبِهِ
وَيَدْفَعُ الْخَطَرْ
3
يَقُولُ لِي هَأَنَذَا
حَيٌّ لأَجْلِكَ
أَحْبَبْتُكَ فَدَيْتُكَ
أَرْثِي لِضَعْفِكَ
4
لا سَبَبَ يَقْدِرُ أَنْ
يُخْمِدَ حُبَّ ذَاكْ
مَاتَ هُنَا عَنَّا كَمَا
يَحْيَا لَنَا هُنَاكْ
5
فَلْنَذْكُرِ الْفَضْلَ الْعَظِيمْ
وَلْنَشْدُ لاسْمِهِ
وَلْتَعْتَرِفْ شِفَاهُنَا
بِعُظْمِ حُبِّهِ
6"
6,اذكروا لي اسم يسوع,"اُذْكُرُوا لِي اسْمَ يَسُوعَ
بَاطِلٌ كُلٌّ سِوَاهْ
اِسْمُهُ حُلْوٌ عَزِيزٌ
لَسْتُ أَبْغِي مَا عَدَاهْ
1
اِسْمُهُ دُهْنٌ نَقِيٌّ
مُهْرَقُ طِيبُ سَكِيبْ
يَمْلأُ النَّفْسَ انْتِعَاشًا
وَهْوَ لِي أَطْيَبُ طِيبْ
2
اِسْمُهُ بُرْجٌ حَصِينٌ
مَخْبَأٌ مِنْ كُلِّ شَرّْ
أَرْكُضُ إِلَيْهِ حَتَّى
أَحْتَمِي مِنْ كُلِّ ضَرّْ
3
اُذْكُرُوا لِي اسْمَ يَسُوعَ
مَنْ عَلَى الْمَوْتِ انْتَصَرْ
وَسَيَأْتِينَا سَرِيعًا
لِلْخَلاصِ الْمُنْتَظَرْ
4"
7,ينبوع جود من دم الفادي,"يَنْبُوعُ جُودٍ مِنْ دَمِ الْفَادِي جَرَى
مِنْ جِسْمِ يَسُوعَ الَّذِي يُحْيِي الْوَرَى
وَكُلُّ مَنْ فِيهِ اغْتَسَلْ
تَنَقَّى بِدَمِ الْحَمَلْ
1
يَا حَمَلاً قَدْ مَاتَ عَنْ جِنْسِ الْبَشَرْ
هَذَا الدَّمُ الثَّمِينُ دَائِمُ الأَثَرْ
حَتَّى تُنَجِّي بِسَلامْ
عَرُوسَكَ إِلَى التَّمَامْ
2
لَمَّا رَأَيْتُ دَمَ ذَلِكَ الْحَمَلْ
ذَاكَ الَّذِي تَعَيَّنَ مُنْذُ الأَزَلْ
قَدْ صَارَ حُبُّ مَنْ فَدَى
مَوْضُوعَ سُبْحِي أَبَدَا
3
إِذَا غَدَا هَذَا الِّلَسانُ أَبْكَمَ
فِي قَبْرِهِ أَخْرَسَ لَنْ يُكَلِّمَ
تَشْدُو بِسُبْحٍ أَعْظَمِ
نَفْسِي لِرَبِّي الْمُنْعِمِ
4"
8,يسوع ربي احب الخطاة,"يَسُوعُ رَبِّي أَحَبَّ الْخُطَاهْ
مَنْ يَا تُرَى مِثْلُ هَذَا الْحَبِيبْ
مِنْ أَجْلِهِمْ قَدْ جَاءَ مِنْ عُلاهْ
مَنْ يَا تُرَى مِثْلُ هَذَا الْحَبِيبْ
1
مِنْ أَجْلِهِمْ ذَاقَ مَوْتَ الصَّلِيبْ
مَنْ غَيْرُهُ فِي اتِّضَاعٍ عَجِيبْ
مَضَى لِيَحْمِلَ الْحُكْمَ الرَّهِيبْ
مَنْ يَا تُرَى مِثْلُ هَذَا الْحَبِيبْ
2
فَهْوَ الَّذِي لُطْفُهُ عَمَّنَا
مَنْ يَا تُرَى مِثْلُ هَذَا الْحَبِيبْ
فَاخْتَارَ أَنْ يَفْتَدِي جِنْسَنَا
مَنْ يَا تُرَى مِثْلُ هَذَا الْحَبِيبْ
3
عَنَّا عَفَا غَافِرًا ذَنْبَنَا
فَادِي الْوَرَى ذَاكِرًا أَصْلَنَا
وَحَجَبَ الطَّرْفَ عَنْ جَهْلِنَا
مَنْ يَا تُرَى مِثْلُ هَذَا الْحَبِيبْ
4"
9,كنت في سجن الخطايا,"كُنْتُ فِي سِجْنِ الْخَطَايَا
عَبْدَ إِبْلِيسَ الأَثِيمْ
غَيْرَ مَأْمُولٍ خَلاصِي
ثُمَّ نَجَّانِي الرَّحِيمْ
1
وَاشْتَرَانِي وَاشْتَرَانِي
ذَاكَ بِالدَّمِ الْكَرِيمْ
لَمْ يَفِ بِالْمَالِ دَيْنِي
ذَلِكَ الْفَادِي الْعَظِيمْ
بَلْ بِدَمِهِ فَدَانِي
مِنْ عَذَابَاتِ الْجَحِيمْ
2
وَاشْتَرَانِي وَاشْتَرَانِي
ذَاكَ بِالدَّمِ الْكَرِيمْ
فَأَنَا لَسْتُ لِذَاتِي
لَيْسَ لِي شَيْءٌ هُنَا
كُلُّ مَا عِنْدِي لِفَادِي
النَّفْسِ وَهَّابِ الْمُنَى
3
إِذْ فَدَانِي إِذْ فَدَانِي
ذَاكَ بِالدَّمِ الْكَرِيمْ
لَيْتَنِي أَقْضِي زَمَانِي
خَادِمَ الْفَادِي الأَمِينْ
بَاذِلاً جِسْمِي وَرُوحِي
وَقُوَى عَقْلِي الثَّمِينْ
4
إِذْ فَدَانِي إِذْ فَدَانِي
ذَاكَ بِالدَّمِ الْكَرِيمْ"
10,يابني الاَب السماوي,"يَا بَنِي الآبِ السَّمَاوِيّْ
رَتِّلُوا وَقْتَ السَّفَرْ
سَبِّحُوا الْفَادِي الْمُعَزِّي
وَالْحَبِيبَ الْمُنْتَظَرْ
1
بِاخْتِطَافٍ تَرْتَقُونَ
مَعْ جَمِيعِ الْمُؤْمِنِينْ
إِنَّهُ فِي سُحْبِ مَجْدٍ
يَلْتَقِيكُمْ عَنْ يَقِينْ
2
يَا قَطِيعَ الرَّبِّ هَلِّلْ
إِذْ نَصِيبُكَ يَسُوعْ
وَلَكَ الْمَجْدُ مُعَدٌّ
فِي ذُرَى تِلْكَ الرُّبُوعْ
3
هَبْ لَنَا يَا رَبُّ نَسْعَى
بِالرَّجَاءِ مَمْلُوئِينْ
أَنْتَ الْقَائِدُ وَالْمُرْشِدْ
نَتْبَعَنْكَ فَرِحِينْ
4"
